Applied Force,Fiber Diameter,Volume Fraction,Fiber E1,Fiber E2,Fiber nu12,Fiber nu23,Fiber G12,Matrix E,Matrix nu
0.02,0.0071,0.40986328125,173583.789063,14155.859375,0.33181640625,0.26044921875,24886.71875,3157.51953125,0.42148046875
0.02,0.0071,0.55048828125,173583.789063,14155.859375,0.33181640625,0.26044921875,24886.71875,3157.51953125,0.42148046875
0.02,0.0071,0.40986328125,169826.757813,14155.859375,0.33181640625,0.26044921875,24886.71875,3157.51953125,0.42148046875
0.02,0.0071,0.40986328125,173583.789063,10513.671875,0.33181640625,0.26044921875,24886.71875,3157.51953125,0.42148046875
0.02,0.0071,0.40986328125,173583.789063,14155.859375,0.25587890625,0.26044921875,24886.71875,3157.51953125,0.42148046875
0.02,0.0071,0.40986328125,173583.789063,14155.859375,0.33181640625,0.23900390625,24886.71875,3157.51953125,0.42148046875
0.02,0.0071,0.40986328125,173583.789063,14155.859375,0.33181640625,0.26044921875,18605.46875,3157.51953125,0.42148046875
0.02,0.0071,0.40986328125,173583.789063,14155.859375,0.33181640625,0.26044921875,24886.71875,3411.81640625,0.42148046875
0.02,0.0071,0.40986328125,173583.789063,14155.859375,0.33181640625,0.26044921875,24886.71875,3157.51953125,0.31350390625
0.02,0.0071,0.55048828125,169826.757813,10513.671875,0.25587890625,0.23900390625,18605.46875,3411.81640625,0.31350390625
0.02,0.0071,0.65986328125,242283.789063,9955.859375,0.24181640625,0.35044921875,18886.71875,4459.51953125,0.31948046875
0.02,0.0071,0.30048828125,242283.789063,9955.859375,0.24181640625,0.35044921875,18886.71875,4459.51953125,0.31948046875
0.02,0.0071,0.65986328125,238526.757813,9955.859375,0.24181640625,0.35044921875,18886.71875,4459.51953125,0.31948046875
0.02,0.0071,0.65986328125,242283.789063,14713.671875,0.24181640625,0.35044921875,18886.71875,4459.51953125,0.31948046875
0.02,0.0071,0.65986328125,242283.789063,9955.859375,0.34587890625,0.35044921875,18886.71875,4459.51953125,0.31948046875
0.02,0.0071,0.65986328125,242283.789063,9955.859375,0.24181640625,0.32900390625,18886.71875,4459.51953125,0.31948046875
0.02,0.0071,0.65986328125,242283.789063,9955.859375,0.24181640625,0.35044921875,24605.46875,4459.51953125,0.31948046875
0.02,0.0071,0.65986328125,242283.789063,9955.859375,0.24181640625,0.35044921875,18886.71875,4713.81640625,0.31948046875
0.02,0.0071,0.65986328125,242283.789063,9955.859375,0.24181640625,0.35044921875,18886.71875,4459.51953125,0.41550390625
0.02,0.0071,0.30048828125,238526.757813,14713.671875,0.34587890625,0.32900390625,24605.46875,4713.81640625,0.41550390625
0.02,0.0071,0.78486328125,207933.789063,16255.859375,0.37681640625,0.30544921875,15886.71875,3808.51953125,0.26848046875
0.02,0.0071,0.42548828125,207933.789063,16255.859375,0.37681640625,0.30544921875,15886.71875,3808.51953125,0.26848046875
0.02,0.0071,0.78486328125,272876.757813,16255.859375,0.37681640625,0.30544921875,15886.71875,3808.51953125,0.26848046875
0.02,0.0071,0.78486328125,207933.789063,16813.671875,0.37681640625,0.30544921875,15886.71875,3808.51953125,0.26848046875
0.02,0.0071,0.78486328125,207933.789063,16255.859375,0.30087890625,0.30544921875,15886.71875,3808.51953125,0.26848046875
0.02,0.0071,0.78486328125,207933.789063,16255.859375,0.37681640625,0.28400390625,15886.71875,3808.51953125,0.26848046875
0.02,0.0071,0.78486328125,207933.789063,16255.859375,0.37681640625,0.30544921875,15605.46875,3808.51953125,0.26848046875
0.02,0.0071,0.78486328125,207933.789063,16255.859375,0.37681640625,0.30544921875,15886.71875,5364.81640625,0.26848046875
0.02,0.0071,0.78486328125,207933.789063,16255.859375,0.37681640625,0.30544921875,15886.71875,3808.51953125,0.26250390625
0.02,0.0071,0.42548828125,272876.757813,16813.671875,0.30087890625,0.28400390625,15605.46875,5364.81640625,0.26250390625
0.02,0.0071,0.53486328125,276633.789063,12055.859375,0.28681640625,0.21544921875,21886.71875,5110.51953125,0.37048046875
0.02,0.0071,0.67548828125,276633.789063,12055.859375,0.28681640625,0.21544921875,21886.71875,5110.51953125,0.37048046875
0.02,0.0071,0.53486328125,204176.757813,12055.859375,0.28681640625,0.21544921875,21886.71875,5110.51953125,0.37048046875
0.02,0.0071,0.53486328125,276633.789063,12613.671875,0.28681640625,0.21544921875,21886.71875,5110.51953125,0.37048046875
0.02,0.0071,0.53486328125,276633.789063,12055.859375,0.21087890625,0.21544921875,21886.71875,5110.51953125,0.37048046875
0.02,0.0071,0.53486328125,276633.789063,12055.859375,0.28681640625,0.37400390625,21886.71875,5110.51953125,0.37048046875
0.02,0.0071,0.53486328125,276633.789063,12055.859375,0.28681640625,0.21544921875,21605.46875,5110.51953125,0.37048046875
0.02,0.0071,0.53486328125,276633.789063,12055.859375,0.28681640625,0.21544921875,21886.71875,4062.81640625,0.37048046875
0.02,0.0071,0.53486328125,276633.789063,12055.859375,0.28681640625,0.21544921875,21886.71875,5110.51953125,0.36450390625
0.02,0.0071,0.67548828125,204176.757813,12613.671875,0.21087890625,0.37400390625,21605.46875,4062.81640625,0.36450390625
0.02,0.0071,0.47236328125,225108.789063,11005.859375,0.26431640625,0.23794921875,23386.71875,4134.01953125,0.24298046875
0.02,0.0071,0.48798828125,225108.789063,11005.859375,0.26431640625,0.23794921875,23386.71875,4134.01953125,0.24298046875
0.02,0.0071,0.47236328125,255701.757813,11005.859375,0.26431640625,0.23794921875,23386.71875,4134.01953125,0.24298046875
0.02,0.0071,0.47236328125,225108.789063,17863.671875,0.26431640625,0.23794921875,23386.71875,4134.01953125,0.24298046875
0.02,0.0071,0.47236328125,225108.789063,11005.859375,0.23337890625,0.23794921875,23386.71875,4134.01953125,0.24298046875
0.02,0.0071,0.47236328125,225108.789063,11005.859375,0.26431640625,0.26150390625,23386.71875,4134.01953125,0.24298046875
0.02,0.0071,0.47236328125,225108.789063,11005.859375,0.26431640625,0.23794921875,23105.46875,4134.01953125,0.24298046875
0.02,0.0071,0.47236328125,225108.789063,11005.859375,0.26431640625,0.23794921875,23386.71875,3737.31640625,0.24298046875
0.02,0.0071,0.47236328125,225108.789063,11005.859375,0.26431640625,0.23794921875,23386.71875,4134.01953125,0.39000390625
0.02,0.0071,0.48798828125,255701.757813,17863.671875,0.23337890625,0.26150390625,23105.46875,3737.31640625,0.39000390625
0.02,0.0071,0.72236328125,293808.789063,15205.859375,0.35431640625,0.32794921875,17386.71875,5436.01953125,0.34498046875
0.02,0.0071,0.73798828125,293808.789063,15205.859375,0.35431640625,0.32794921875,17386.71875,5436.01953125,0.34498046875
0.02,0.0071,0.72236328125,187001.757813,15205.859375,0.35431640625,0.32794921875,17386.71875,5436.01953125,0.34498046875
0.02,0.0071,0.72236328125,293808.789063,13663.671875,0.35431640625,0.32794921875,17386.71875,5436.01953125,0.34498046875
0.02,0.0071,0.72236328125,293808.789063,15205.859375,0.32337890625,0.32794921875,17386.71875,5436.01953125,0.34498046875
0.02,0.0071,0.72236328125,293808.789063,15205.859375,0.35431640625,0.35150390625,17386.71875,5436.01953125,0.34498046875
0.02,0.0071,0.72236328125,293808.789063,15205.859375,0.35431640625,0.32794921875,17105.46875,5436.01953125,0.34498046875
0.02,0.0071,0.72236328125,293808.789063,15205.859375,0.35431640625,0.32794921875,17386.71875,5039.31640625,0.34498046875
0.02,0.0071,0.72236328125,293808.789063,15205.859375,0.35431640625,0.32794921875,17386.71875,5436.01953125,0.28800390625
0.02,0.0071,0.73798828125,187001.757813,13663.671875,0.32337890625,0.35150390625,17105.46875,5039.31640625,0.28800390625
0.02,0.0071,0.59736328125,190758.789063,13105.859375,0.21931640625,0.37294921875,14386.71875,3483.01953125,0.39598046875
0.02,0.0071,0.61298828125,190758.789063,13105.859375,0.21931640625,0.37294921875,14386.71875,3483.01953125,0.39598046875
0.02,0.0071,0.59736328125,221351.757813,13105.859375,0.21931640625,0.37294921875,14386.71875,3483.01953125,0.39598046875
0.02,0.0071,0.59736328125,190758.789063,11563.671875,0.21931640625,0.37294921875,14386.71875,3483.01953125,0.39598046875
0.02,0.0071,0.59736328125,190758.789063,13105.859375,0.36837890625,0.37294921875,14386.71875,3483.01953125,0.39598046875
0.02,0.0071,0.59736328125,190758.789063,13105.859375,0.21931640625,0.21650390625,14386.71875,3483.01953125,0.39598046875
0.02,0.0071,0.59736328125,190758.789063,13105.859375,0.21931640625,0.37294921875,20105.46875,3483.01953125,0.39598046875
0.02,0.0071,0.59736328125,190758.789063,13105.859375,0.21931640625,0.37294921875,14386.71875,4388.31640625,0.39598046875
0.02,0.0071,0.59736328125,190758.789063,13105.859375,0.21931640625,0.37294921875,14386.71875,3483.01953125,0.44100390625
0.02,0.0071,0.61298828125,221351.757813,11563.671875,0.36837890625,0.21650390625,20105.46875,4388.31640625,0.44100390625
0.02,0.0071,0.34736328125,259458.789063,17305.859375,0.30931640625,0.28294921875,20386.71875,4785.01953125,0.29398046875
0.02,0.0071,0.36298828125,259458.789063,17305.859375,0.30931640625,0.28294921875,20386.71875,4785.01953125,0.29398046875
0.02,0.0071,0.34736328125,290051.757813,17305.859375,0.30931640625,0.28294921875,20386.71875,4785.01953125,0.29398046875
0.02,0.0071,0.34736328125,259458.789063,15763.671875,0.30931640625,0.28294921875,20386.71875,4785.01953125,0.29398046875
0.02,0.0071,0.34736328125,259458.789063,17305.859375,0.27837890625,0.28294921875,20386.71875,4785.01953125,0.29398046875
0.02,0.0071,0.34736328125,259458.789063,17305.859375,0.30931640625,0.30650390625,20386.71875,4785.01953125,0.29398046875
0.02,0.0071,0.34736328125,259458.789063,17305.859375,0.30931640625,0.28294921875,14105.46875,4785.01953125,0.29398046875
0.02,0.0071,0.34736328125,259458.789063,17305.859375,0.30931640625,0.28294921875,20386.71875,3086.31640625,0.29398046875
0.02,0.0071,0.34736328125,259458.789063,17305.859375,0.30931640625,0.28294921875,20386.71875,4785.01953125,0.33900390625
0.02,0.0071,0.36298828125,290051.757813,15763.671875,0.27837890625,0.30650390625,14105.46875,3086.31640625,0.33900390625
0.02,0.0071,0.33173828125,186465.039063,10218.359375,0.29244140625,0.32232421875,17011.71875,5517.39453125,0.40235546875
0.02,0.0071,0.31611328125,186465.039063,10218.359375,0.29244140625,0.32232421875,17011.71875,5517.39453125,0.40235546875
0.02,0.0071,0.33173828125,217058.007813,10218.359375,0.29244140625,0.32232421875,17011.71875,5517.39453125,0.40235546875
0.02,0.0071,0.33173828125,186465.039063,16026.171875,0.29244140625,0.32232421875,17011.71875,5517.39453125,0.40235546875
0.02,0.0071,0.33173828125,186465.039063,10218.359375,0.25025390625,0.32232421875,17011.71875,5517.39453125,0.40235546875
0.02,0.0071,0.33173828125,186465.039063,10218.359375,0.29244140625,0.28962890625,17011.71875,5517.39453125,0.40235546875
0.02,0.0071,0.33173828125,186465.039063,10218.359375,0.29244140625,0.32232421875,16730.46875,5517.39453125,0.40235546875
0.02,0.0071,0.33173828125,186465.039063,10218.359375,0.29244140625,0.32232421875,17011.71875,4795.19140625,0.40235546875
0.02,0.0071,0.33173828125,186465.039063,10218.359375,0.29244140625,0.32232421875,17011.71875,5517.39453125,0.37087890625
0.02,0.0071,0.31611328125,217058.007813,16026.171875,0.25025390625,0.28962890625,16730.46875,4795.19140625,0.37087890625
0.02,0.0071,0.58173828125,255165.039063,14418.359375,0.38244140625,0.23232421875,23011.71875,4215.39453125,0.30035546875
0.02,0.0071,0.56611328125,255165.039063,14418.359375,0.38244140625,0.23232421875,23011.71875,4215.39453125,0.30035546875
0.02,0.0071,0.58173828125,285758.007813,14418.359375,0.38244140625,0.23232421875,23011.71875,4215.39453125,0.30035546875
0.02,0.0071,0.58173828125,255165.039063,11826.171875,0.38244140625,0.23232421875,23011.71875,4215.39453125,0.30035546875
0.02,0.0071,0.58173828125,255165.039063,14418.359375,0.34025390625,0.23232421875,23011.71875,4215.39453125,0.30035546875
0.02,0.0071,0.58173828125,255165.039063,14418.359375,0.38244140625,0.37962890625,23011.71875,4215.39453125,0.30035546875
0.02,0.0071,0.58173828125,255165.039063,14418.359375,0.38244140625,0.23232421875,22730.46875,4215.39453125,0.30035546875
0.02,0.0071,0.58173828125,255165.039063,14418.359375,0.38244140625,0.23232421875,23011.71875,3493.19140625,0.30035546875
0.02,0.0071,0.58173828125,255165.039063,14418.359375,0.38244140625,0.23232421875,23011.71875,4215.39453125,0.26887890625
0.02,0.0071,0.56611328125,285758.007813,11826.171875,0.34025390625,0.37962890625,22730.46875,3493.19140625,0.26887890625
0.02,0.0071,0.70673828125,220815.039063,12318.359375,0.24744140625,0.27732421875,20011.71875,4866.39453125,0.24935546875
0.02,0.0071,0.69111328125,220815.039063,12318.359375,0.24744140625,0.27732421875,20011.71875,4866.39453125,0.24935546875
0.02,0.0071,0.70673828125,251408.007813,12318.359375,0.24744140625,0.27732421875,20011.71875,4866.39453125,0.24935546875
0.02,0.0071,0.70673828125,220815.039063,13926.171875,0.24744140625,0.27732421875,20011.71875,4866.39453125,0.24935546875
0.02,0.0071,0.70673828125,220815.039063,12318.359375,0.38525390625,0.27732421875,20011.71875,4866.39453125,0.24935546875
0.02,0.0071,0.70673828125,220815.039063,12318.359375,0.24744140625,0.24462890625,20011.71875,4866.39453125,0.24935546875
0.02,0.0071,0.70673828125,220815.039063,12318.359375,0.24744140625,0.27732421875,19730.46875,4866.39453125,0.24935546875
0.02,0.0071,0.70673828125,220815.039063,12318.359375,0.24744140625,0.27732421875,20011.71875,4144.19140625,0.24935546875
0.02,0.0071,0.70673828125,220815.039063,12318.359375,0.24744140625,0.27732421875,20011.71875,4866.39453125,0.42187890625
0.02,0.0071,0.69111328125,251408.007813,13926.171875,0.38525390625,0.24462890625,19730.46875,4144.19140625,0.42187890625
0.02,0.0071,0.45673828125,289515.039063,16518.359375,0.33744140625,0.36732421875,14011.71875,3564.39453125,0.35135546875
0.02,0.0071,0.44111328125,289515.039063,16518.359375,0.33744140625,0.36732421875,14011.71875,3564.39453125,0.35135546875
0.02,0.0071,0.45673828125,182708.007813,16518.359375,0.33744140625,0.36732421875,14011.71875,3564.39453125,0.35135546875
0.02,0.0071,0.45673828125,289515.039063,18126.171875,0.33744140625,0.36732421875,14011.71875,3564.39453125,0.35135546875
0.02,0.0071,0.45673828125,289515.039063,16518.359375,0.29525390625,0.36732421875,14011.71875,3564.39453125,0.35135546875
0.02,0.0071,0.45673828125,289515.039063,16518.359375,0.33744140625,0.33462890625,14011.71875,3564.39453125,0.35135546875
0.02,0.0071,0.45673828125,289515.039063,16518.359375,0.33744140625,0.36732421875,25730.46875,3564.39453125,0.35135546875
0.02,0.0071,0.45673828125,289515.039063,16518.359375,0.33744140625,0.36732421875,14011.71875,5446.19140625,0.35135546875
0.02,0.0071,0.45673828125,289515.039063,16518.359375,0.33744140625,0.36732421875,14011.71875,3564.39453125,0.31987890625
0.02,0.0071,0.44111328125,182708.007813,18126.171875,0.29525390625,0.33462890625,25730.46875,5446.19140625,0.31987890625
